id,name,market,close,change,turnover,high,low
1732,毛寶,TWSE,26.6,-0.15,3344570,26.8,26.35
1733,五鼎,TWSE,30.25,0.4,8107386,30.6,29.95
1734,杏輝,TWSE,33.8,0.2,31782080,34.55,33.65
1735,日勝化,TWSE,24.35,0.6,17419454,25.4,23.8
1736,喬山,TWSE,131.5,0,82399159,133.5,129
1737,臺鹽,TWSE,32,-0.05,2966381,32.1,31.9
1752,南光,TWSE,32.4,0.1,2632844,32.85,32.3
1760,寶齡富錦,TWSE,65.9,2.9,52746794,66.5,63.5
1762,中化生,TWSE,40.7,3,85186571,41.45,37.8
1773,勝一,TWSE,185,7.5,263138982,188,179
1776,展宇,TWSE,20.15,-0.15,5452747,20.35,19.9
1783,和康生,TWSE,40.6,0.7,7071870,40.6,39.3
1786,科妍,TWSE,54.4,0.1,13647101,55.9,54.3
1789,神隆,TWSE,21.05,0.2,18902197,21.35,20.85
1795,美時,TWSE,204.5,5,686280468,207,200
1802,台玻,TWSE,67.9,-0.9,2201825597,70.4,67.4
1805,寶徠,TWSE,10.2,-0.2,2234261,10.4,10.15
1806,冠軍,TWSE,8.52,0.01,5782408,8.65,8.45
1808,潤隆,TWSE,31.5,1.1,50399702,31.5,30.5
1809,中釉,TWSE,52,-1.9,222157584,55,52
1810,和成,TWSE,23.7,0.45,556659120,24.9,22.4
1817,凱撒衛,TWSE,38.8,-0.1,3766086,38.95,38.65
1903,士紙,TWSE,50.1,1.15,40205349,51.5,49.65
1904,正隆,TWSE,23.9,0.7,155738853,24.7,23.6
1905,華紙,TWSE,16.85,-0.15,153194429,17.7,16.75
1906,寶隆,TWSE,11.55,0.1,1863500,11.65,11.45
1907,永豐餘,TWSE,28.7,0.55,80253841,29.15,28.3
1909,榮成,TWSE,10.65,0.35,143232026,10.9,10.5
2002,中鋼,TWSE,19,0.05,498434230,19.1,18.85
2006,東和鋼鐵,TWSE,68.6,-0.8,73127044,69.7,68
2007,燁興,TWSE,7.46,-0.06,7635686,7.7,7.43
2008,高興昌,TWSE,30.65,-0.15,152520,30.65,30.5
2009,第一銅,TWSE,39.55,-0.1,76993177,40.5,39.5
2010,春源,TWSE,21.8,0.25,26118872,21.8,21.45
2012,春雨,TWSE,16.5,0.15,1029865,16.85,16.3
2013,中鋼構,TWSE,41.5,-0.15,8568431,41.75,41.35
2014,中鴻,TWSE,17.6,-0.25,51157160,17.95,17.55
2015,豐興,TWSE,62.3,0,21548702,63.1,61.9
2017,官田鋼,TWSE,9.45,-0.09,5197674,9.72,9.45
2020,美亞,TWSE,21.75,0.05,4980727,21.8,21.65
2022,聚亨,TWSE,8.13,-0.07,11774944,8.38,8.06
2023,燁輝,TWSE,13.65,0,9313853,13.7,13.6
2024,志聯,TWSE,13.95,0,75751,13.95,13.8
2025,千興,TWSE,13.45,-0.2,5632652,13.8,13.35
2027,大成鋼,TWSE,41.3,0.15,292693239,41.65,41.1
2028,威致,TWSE,16.2,0,1168128,16.35,16.1
2029,盛餘,TWSE,20.9,0,5824890,21.2,20.9
2030,彰源,TWSE,19.2,-0.05,23338883,19.7,19.05
2031,新光鋼,TWSE,38.9,-0.15,28811234,39.6,38.8
2032,新鋼,TWSE,16.95,-0.3,4971545,17.35,16.9
2033,佳大,TWSE,16.4,-0.15,1658639,16.5,16.3
2034,允強,TWSE,20.6,0.15,25931348,20.75,20.45
2038,海光,TWSE,13.6,-0.1,4766837,13.95,13.6
2049,上銀,TWSE,364,14,1937975374,370.5,352
2059,川湖,TWSE,7785,-215,3602183845,8000,7495
2062,橋椿,TWSE,19.35,0.1,5667063,19.45,19.2
2069,運錩,TWSE,18.6,0,2614981,18.75,18.55
2072,世紀風電,TWSE,147.5,0.5,86987565,152.5,147
2101,南港,TWSE,34.15,0.75,113637375,34.6,33.5
2102,泰豐,TWSE,18.8,0,5124531,19.15,18.8
2103,台橡,TWSE,24.2,0.7,739138722,25.85,24.05
2104,國際中橡,TWSE,11.4,0.2,136549165,11.65,11.15
2105,正新,TWSE,32.55,0.4,472915268,33.1,32.25
2106,建大,TWSE,17.9,0.15,15040259,18.1,17.7
2107,厚生,TWSE,25.85,0.05,4901884,26,25.7
2108,南帝,TWSE,29.85,0,64716038,30.6,29.7
2109,華豐,TWSE,14.95,0,5169049,15.1,14.9
2114,鑫永銓,TWSE,90.4,-0.1,3024737,90.8,90
2115,六暉-KY,TWSE,21.2,0.1,1270937,21.55,21.1
2201,裕隆,TWSE,29.3,0.5,135531255,29.6,28.9
2204,中華,TWSE,57.5,0.4,42626041,57.9,57.1
2206,三陽工業,TWSE,63.6,-0.4,50437431,64.7,63.6
2207,和泰車,TWSE,476.5,3.5,128309360,482,472.5
2208,台船,TWSE,20.3,-0.5,628944214,22.45,20.25
2211,長榮鋼,TWSE,96.8,0.3,58661459,97.6,96.5
2227,裕日車,TWSE,50,0,1373487,50.5,49.1
2228,劍麟,TWSE,87.8,0.1,7145644,89.4,87.4
2231,為升,TWSE,123.5,5,589063817,126.5,117.5
2233,宇隆,TWSE,264.5,-10.5,320696767,279.5,262
2236,百達-KY,TWSE,184,0,308446991,189,180.5
2239,英利-KY,TWSE,22.95,-0.25,8273256,23.9,22.65
2241,艾姆勒,TWSE,46.35,-1.25,128211564,50.4,46.05
2243,宏旭-KY,TWSE,66,0.1,23455950,67.8,65.5
2247,汎德永業,TWSE,236,-1,10286148,240,236
2248,華勝-KY,TWSE,58.9,1.6,8592287,60,57.3
2250,IKKA-KY,TWSE,69.4,-2.1,37455462,73.5,69.1
2254,巨鎧精密-創,TWSE,59.6,0.3,594200,59.6,59.1
2258,鴻華先進-創,TWSE,32.25,-0.65,17409951,33.1,32.2
2301,光寶科,TWSE,224,5,5727772197,233.5,222
2302,麗正,TWSE,52.2,0.2,613039243,56.9,51.6
2303,聯電,TWSE,166,-4.5,9165631392,171.5,164
2305,全友,TWSE,42.65,3.85,121363553,42.65,40.5
2308,台達電,TWSE,1995,-80,18891547485,2135,1995
2312,金寶,TWSE,35.55,0.7,777569264,36.4,35.05
2313,華通,TWSE,235,5.5,8434741056,241.5,226
2314,台揚,TWSE,13.9,-0.2,3244297,14.35,13.7
2316,楠梓電,TWSE,216,-5.5,277107875,225.5,205.5
2317,鴻海,TWSE,242,1.5,10638459575,247.5,240.5
2321,東訊,TWSE,13.6,0,123624,13.6,13.15
2323,中環,TWSE,11.9,-0.1,135339591,12.2,11.8
2324,仁寶,TWSE,35.7,0.75,1969855394,36.7,35.1
2327,國巨*,TWSE,1005,-40,43370591885,1055,985
2328,廣宇,TWSE,51,-0.2,218298482,52.4,50.8
2329,華泰,TWSE,54.6,1.6,542174036,56.9,53.6
2330,台積電,TWSE,2460,15,52022654454,2500,2455
2331,精英,TWSE,21.3,0.05,64238523,21.7,21.2
2332,友訊,TWSE,19.5,-0.5,767519242,21.1,19.4
2337,旺宏,TWSE,144.5,2,9415382927,152,144
2338,光罩,TWSE,50.6,-0.9,133371247,52.8,50.3
2340,台亞,TWSE,38.95,0.85,473559315,41.5,38.4
2342,茂矽,TWSE,59.2,0.9,212421748,60.7,58
2344,華邦電,TWSE,183,-1.5,31253105406,200,183
2345,智邦,TWSE,2645,-90,6124581505,2825,2600
2347,聯強,TWSE,93.8,-1,860206580,96.2,92.9
2348,海悅,TWSE,76.3,0.3,54979966,77.9,75.3
2349,錸德,TWSE,13.4,0.1,53688399,13.65,13.2
2351,順德,TWSE,228,20.5,3455176969,228,215.5
2352,佳世達,TWSE,35.4,3.2,1815845966,35.4,32.95
2353,宏碁,TWSE,32.8,-0.1,967102324,33.65,32.5
2354,鴻準,TWSE,58.4,2.8,1000124087,60.3,58.2
2355,敬鵬,TWSE,53.1,0,233631125,54.2,52.2
2356,英業達,TWSE,67.2,-0.4,1776222165,69.2,67.2
2357,華碩,TWSE,680,5,2278851543,689,672
2359,所羅門,TWSE,142.5,0.5,638041231,146,142
2360,致茂,TWSE,2180,-85,3494035630,2300,2145
2362,藍天,TWSE,44.95,3.45,118914998,45.2,42.2
2363,矽統,TWSE,68.3,-2.3,1402457748,72.2,68
2364,倫飛,TWSE,71.6,3.5,33480035,72,69.2
2365,昆盈,TWSE,34.2,-0.85,73481178,35.9,34.2
2367,燿華,TWSE,53.8,-1.2,525348434,56.2,53.3
2368,金像電,TWSE,1225,-80,6791252975,1335,1190
2369,菱生,TWSE,43.2,3.9,1311085006,43.2,41.5
2371,大同,TWSE,28.15,0.15,356357102,28.75,28.15
2373,震旦行,TWSE,53.9,0,6793728,54.1,53.7
2374,佳能,TWSE,77.4,0.3,336075356,78.9,76.9
2375,凱美,TWSE,208.5,-7.5,3117503420,227.5,203
2376,技嘉,TWSE,336.5,-2,1532361186,344,336
2377,微星,TWSE,142.5,-0.5,1495945410,146,142
2379,瑞昱,TWSE,769,-14,2532214090,807,769
2380,虹光,TWSE,22.2,0.2,2321752,23.5,22
2382,廣達,TWSE,378,1,9568079760,393,378
2383,台光電,TWSE,5475,-605,19665733290,6250,5475
2385,群光,TWSE,107.5,0.5,643938842,110.5,107
2387,精元,TWSE,40.8,-0.25,38746225,42.1,40.8
2388,威盛,TWSE,71.2,0,217869105,73.4,70.3
2390,云辰,TWSE,13.45,0.2,70632382,14.25,13.35
2392,正崴,TWSE,39.8,0.05,91478756,41.7,39.8
2393,億光,TWSE,70,1.3,274207568,71.6,69.1
2395,研華,TWSE,515,-6,785285614,528,506
2397,友通,TWSE,61,-0.1,34562716,62.8,60.8
2399,映泰,TWSE,55,5,1224177172,55,49.95
2401,凌陽,TWSE,32.7,-0.75,309956661,34.4,32.6
2402,毅嘉,TWSE,69.1,1.6,381010786,70.2,67
2404,漢唐,TWSE,1320,-30,3140049435,1350,1285
2405,輔信,TWSE,17.5,-0.05,41489670,18,17.45
2406,國碩,TWSE,41.45,0.3,1225648304,41.9,39
2408,南亞科,TWSE,420.5,11,26866583275,443,420.5
2409,友達,TWSE,31.7,1.7,12889868568,32,30.15
2412,中華電,TWSE,141.5,0.5,1888644065,142.5,141
2413,環科,TWSE,48.5,0.05,56163868,49.65,48.05
2414,精技,TWSE,61.7,0.2,22663150,63.5,61.5
2415,錩新,TWSE,41.65,3.75,57631667,41.65,39.65
2417,圓剛,TWSE,47.45,-0.05,61268237,48.9,47.4
2419,仲琦,TWSE,29.1,-0.6,64971208,29.8,29.1
2420,新巨,TWSE,62,0,35598925,64,61.4
2421,建準,TWSE,148.5,-0.5,200158702,152,147.5
2423,固緯,TWSE,76.7,2.1,6092623,78,75
2424,隴華,TWSE,10,-0.2,267045,10.5,9.99
2425,承啟,TWSE,41.6,-0.75,62986970,43.05,41.2
2426,鼎元,TWSE,79.2,0.2,1501914945,84.2,78.2
2427,三商電,TWSE,25.9,-0.75,307602296,27.1,25.55
2428,興勤,TWSE,343.5,1.5,2203795928,363.5,325.5
2429,銘旺科,TWSE,49.05,0.35,130456376,52.3,49.05
2430,燦坤,TWSE,18.25,0.2,11550938,18.85,18
2431,聯昌,TWSE,12.1,0.05,9968882,12.3,11.9
2432,倚天酷碁-創,TWSE,28.65,0.05,1049363,28.9,28.6
2433,互盛電,TWSE,42.1,0.05,2829211,42.7,42
2434,統懋,TWSE,54.3,-3.4,77607171,58.5,53.2
2436,偉詮電,TWSE,77.7,1.8,671592041,79.3,76.2
2439,美律,TWSE,91.8,-0.4,202998318,93.2,91.6
2440,太空梭,TWSE,18,0.6,21463765,18.2,17.45
2441,超豐,TWSE,145,3,5300496440,156,144
2442,新美齊,TWSE,19.8,0.1,25811868,20.05,19.7
2444,兆勁,TWSE,12.7,-0.2,5146232,13.05,12.55
2449,京元電子,TWSE,351,16,18980742211,367.5,349.5
2450,神腦,TWSE,29.05,-0.1,4159793,29.2,28.95
2451,創見,TWSE,270.5,7.5,1110132033,276.5,267
2453,凌群,TWSE,57.5,0.1,24153367,58.5,57
2454,聯發科,TWSE,4125,-70,28930241965,4325,4110
2455,全新,TWSE,338,-20,4242940366,375,337
2457,飛宏,TWSE,30.15,0.65,161972242,31.25,29.8
2458,義隆,TWSE,179,-5,1200540488,184,178
2459,敦吉,TWSE,64.1,-0.2,4181083,65,64.1
2460,建通,TWSE,39.5,0.75,109372524,40.85,38.65
2461,光群雷,TWSE,17.9,-0.05,20484490,18.35,17.7
2462,良得電,TWSE,24.15,-0.35,11136033,24.6,23.75
2464,盟立,TWSE,169,-3.5,2152242244,178.5,168
2465,麗臺,TWSE,75.5,2.1,68053699,77.3,73.7
2466,冠西電,TWSE,94.8,8.6,187391405,94.8,94.3
2467,志聖,TWSE,655,40,1887631578,666,608
2468,華經,TWSE,37.75,-1,29873513,38.75,37.65
2471,資通,TWSE,54.1,0.2,8897825,54.5,53.9
2472,立隆電,TWSE,405,-20,3555954498,435,397
2474,可成,TWSE,196,0,2130124051,204.5,196
2476,鉅祥,TWSE,136,3,564805940,138,133
2477,美隆電,TWSE,22.2,-0.1,4923650,22.7,22
2478,大毅,TWSE,215,-23,2888780378,256.5,214.5
2480,敦陽科,TWSE,162,2.5,121397733,167,159.5
2481,強茂,TWSE,227.5,20.5,1923151922,227.5,227.5
2482,連宇,TWSE,17.3,0.3,5776052,17.85,17.25
2483,百容,TWSE,69.9,2.8,164424192,73,64
2484,希華,TWSE,95.8,-0.6,7701837514,99.4,93.6
2485,兆赫,TWSE,53.1,-0.5,251565684,55,52.6
2486,一詮,TWSE,259.5,10.5,2548428930,270,248.5
2488,漢平,TWSE,54.3,-0.1,22152640,54.6,53.7
2489,瑞軒,TWSE,41.05,-0.65,399493764,42.6,41
2491,吉祥全,TWSE,39.45,0.85,37977961,41.3,39
2492,華新科,TWSE,557,-6,824946878,590,530
2493,揚博,TWSE,283,-31,1556191774,310,283
2495,普安,TWSE,52.6,0.8,338844202,53.7,52
2496,卓越,TWSE,64.6,0,269555,65,64.6
2497,怡利電,TWSE,66.8,6,268161823,66.8,61.1
2498,宏達電,TWSE,45,0.55,331423837,46.35,44.95
2501,國建,TWSE,24.75,0.5,129802131,24.9,24.2
2504,國產,TWSE,32.35,-0.35,152967348,33,32.3
2505,國揚,TWSE,18.25,0.05,3412381,18.5,18.15
2506,太設,TWSE,9.01,0.09,1743741,9.05,8.95
2509,全坤建,TWSE,13.55,-0.05,1262865,13.65,13.4
2511,太子,TWSE,8.64,0.24,40715147,8.67,8.44
2514,龍邦,TWSE,13.15,0,1308479,13.25,13.05
2515,中工,TWSE,14.25,-0.05,181269843,14.5,14
2516,新建,TWSE,14,-0.1,5432674,14.1,13.8
2520,冠德,TWSE,35.25,0.4,65553690,35.45,34.55
2524,京城,TWSE,36.4,-0.3,2042786,36.9,36.25
2527,宏璟,TWSE,42.6,1.4,51180318,43.4,41.55
2528,皇普,TWSE,22.55,-0.25,5960229,23.05,22.5
2530,華建,TWSE,19.65,0.25,10692639,19.85,19.4
2534,宏盛,TWSE,17.15,0.05,20796528,17.3,17
2535,達欣工,TWSE,90,0.7,25907143,90.2,89
2536,宏普,TWSE,21.6,0.15,95104496,21.8,21.55
2537,聯上發,TWSE,11.2,0,17775128,11.5,11.15
2538,基泰,TWSE,9.97,0,2537436,10,9.94
2539,櫻花建,TWSE,39.7,0.4,38052575,39.8,39.1
2540,愛山林,TWSE,53.8,0.1,20805339,54.4,53.6
2542,興富發,TWSE,45,1.35,588304161,45,43.7
2543,皇昌,TWSE,39.45,0.25,31740093,40.35,39.15
2545,皇翔,TWSE,38.8,0.15,26005770,39.2,38.65
2546,根基,TWSE,94.9,-0.3,6359892,95.1,94.5
2547,日勝生,TWSE,11.6,0.05,59768641,11.8,11.55
2548,華固,TWSE,103,-0.5,80055976,104,102.5
2597,潤弘,TWSE,171,1,71976371,171.5,168
2601,益航,TWSE,6.6,0.6,38340910,6.6,6.6
2603,長榮,TWSE,195.5,0.5,1676210057,198.5,194.5
2605,新興,TWSE,30.8,0,119707013,31.7,30.75
2606,裕民,TWSE,62.2,0.4,274465718,63.2,62.2
2607,榮運,TWSE,46.75,0.5,24782099,47.15,46.45
2608,嘉里大榮,TWSE,29.25,0.05,5728564,29.35,29.2
2609,陽明,TWSE,53,0.6,1027212719,53.6,52.6
2610,華航,TWSE,22.45,-0.1,662738746,22.75,22.35
2611,志信,TWSE,14.5,0.2,12224787,14.85,14.35
